address	street_number	route	locality	administrative_area_level_1	country	postal_code	latitude	longitude	administrative_area_level_3	administrative_area_level_2	postal_code_suffix	neighborhood	postal_town	sublocality_level_1	postal_code_prefix	sublocality_level_5	sublocality_level_4	ward	premise	administrative_area_level_5	administrative_area_level_4
ER1, 9940 Santana, Portugal	NA	Estrada Regional 1	Santana	Açores	Portugal	NA	38.545874	-28.37322	NA	Pico	NA	NA	NA	NA	9940	NA	NA	NA	NA	NA	NA
Unnamed Road, 9940 Prainha, Portugal	NA	Unnamed Road	Prainha	Açores	Portugal	NA	38.4716405	-28.20149	NA	Pico	NA	NA	NA	NA	9940	NA	NA	NA	NA	NA	NA
ER1, 9930 Lajes Do Pico, Portugal	NA	Estrada Regional 1	Lajes Do Pico	Açores	Portugal	NA	38.39682	-28.25165	NA	Pico	NA	NA	NA	NA	9930	NA	NA	NA	NA	NA	NA
ER1-2, 9960, Portugal	NA	ER1-2	NA	Açores	Portugal	NA	39.4364016	-31.23849	NA	Flores	NA	NA	NA	NA	9960	NA	NA	NA	NA	NA	NA
R. dos Moinhos, 9650 Faial da Terra, Portugal	NA	Rua dos Moinhos	Faial da Terra	Açores	Portugal	NA	37.745428	-25.19929	NA	NA	NA	NA	NA	NA	9650	NA	NA	NA	NA	NA	NA
271 Corniche Président John Fitzgerald Kennedy, 13007 Marseille, France	271	Corniche Président John Fitzgerald Kennedy	Marseille	Provence-Alpes-Côte d'Azur	France	13007	43.279	5.3543	NA	Bouches-du-Rhône	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R. do Brasil 11, 9500 Ponta Delgada, Portugal	11	Rua do Brasil	Ponta Delgada	Açores	Portugal	NA	37.74942	-25.66489	NA	São Miguel	NA	NA	NA	NA	9500	NA	NA	NA	NA	NA	NA
65 Avenue de Pessicart, 06100 Nice, France	65	Avenue de Pessicart	Nice	Provence-Alpes-Côte d'Azur	France	06100	43.720505	7.24045	NA	Alpes-Maritimes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65 Avenue de Pessicart, 06100 Nice, France	65	Avenue de Pessicart	Nice	Provence-Alpes-Côte d'Azur	France	06100	43.720505	7.24045	NA	Alpes-Maritimes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65 Avenue de Pessicart, 06100 Nice, France	65	Avenue de Pessicart	Nice	Provence-Alpes-Côte d'Azur	France	06100	43.720505	7.24045	NA	Alpes-Maritimes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R. João Luís de Moura 93, 2530-158 Lourinhã, Portugal	93	Rua João Luís de Moura	Lourinhã	Lisboa	Portugal	2530-158	39.242006	-9.313417	Lourinhã	Lourinhã	NA	NA	NA	NA	2530	NA	NA	NA	NA	NA	NA
R. João Luís de Moura 93, 2530-158 Lourinhã, Portugal	93	Rua João Luís de Moura	Lourinhã	Lisboa	Portugal	2530-158	39.242006	-9.313417	Lourinhã	Lourinhã	NA	NA	NA	NA	2530	NA	NA	NA	NA	NA	NA
Rua dos Lagares da Quinta 8, 2780 Oeiras, Portugal	8	Rua dos Lagares da Quinta	Oeiras	Lisboa	Portugal	NA	38.691765	-9.31609	Oeiras e São Julião da Barra	Oeiras	NA	NA	NA	NA	2780	NA	NA	NA	NA	NA	NA
Yağbasan Köyü İç Yolu, 45320 Yağbasan/Salihli/Manisa, Turkey	NA	Yağbasan Köyü İç Yolu	NA	Manisa	Turkey	45320	38.66621	28.151364	Yağbasan Köyü	Salihli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unnamed Road, 9800, Portugal	NA	Unnamed Road	NA	Açores	Portugal	NA	38.661313	-28.147949	NA	San Jorge	NA	NA	NA	NA	9800	NA	NA	NA	NA	NA	NA
29 Avenue Caravadossi, 06100 Nice, France	29	Avenue Caravadossi	Nice	Provence-Alpes-Côte d'Azur	France	06100	43.714834	7.266779	NA	Alpes-Maritimes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua da Alegria 104, 1250-096 Lisboa, Portugal	104	Rua da Alegria	Lisboa	Lisboa	Portugal	1250-096	38.71829	-9.14875	NA	Lisbon	NA	NA	NA	NA	1250	NA	NA	NA	NA	NA	NA
Rua dos Lagares da Quinta 8, 2780 Oeiras, Portugal	8	Rua dos Lagares da Quinta	Oeiras	Lisboa	Portugal	NA	38.69237	-9.31592	Oeiras e São Julião da Barra	Oeiras	NA	NA	NA	NA	2780	NA	NA	NA	NA	NA	NA
Rua dos Lagares da Quinta 8, 2780 Oeiras, Portugal	8	Rua dos Lagares da Quinta	Oeiras	Lisboa	Portugal	NA	38.69237	-9.31592	Oeiras e São Julião da Barra	Oeiras	NA	NA	NA	NA	2780	NA	NA	NA	NA	NA	NA
Rua dos Lagares da Quinta 8, 2780 Oeiras, Portugal	8	Rua dos Lagares da Quinta	Oeiras	Lisboa	Portugal	NA	38.69237	-9.31592	Oeiras e São Julião da Barra	Oeiras	NA	NA	NA	NA	2780	NA	NA	NA	NA	NA	NA
Rua dos Lagares da Quinta 8, 2780 Oeiras, Portugal	8	Rua dos Lagares da Quinta	Oeiras	Lisboa	Portugal	NA	38.69237	-9.31592	Oeiras e São Julião da Barra	Oeiras	NA	NA	NA	NA	2780	NA	NA	NA	NA	NA	NA
R. Ginjal, Portugal	NA	Rua Ginjal	NA	NA	Portugal	NA	38.69237	-9.14875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rua dos Lagares da Quinta 8, 2780 Oeiras, Portugal	8	Rua dos Lagares da Quinta	Oeiras	Lisboa	Portugal	NA	38.69237	-9.31592	Oeiras e São Julião da Barra	Oeiras	NA	NA	NA	NA	2780	NA	NA	NA	NA	NA	NA
R. do Casal 5, 2420-382 Boa Vista, Portugal	5	Rua do Casal	Boa Vista	Leiria	Portugal	2420-382	39.769459	-8.756356	Boa Vista	Leiria	NA	NA	NA	NA	2420	NA	NA	NA	NA	NA	NA
R. do Casal 5, 2420-382 Boa Vista, Portugal	5	Rua do Casal	Boa Vista	Leiria	Portugal	2420-382	39.769459	-8.756356	Boa Vista	Leiria	NA	NA	NA	NA	2420	NA	NA	NA	NA	NA	NA
R. do Casal 5, 2420-382 Boa Vista, Portugal	5	Rua do Casal	Boa Vista	Leiria	Portugal	2420-382	39.769459	-8.756356	Boa Vista	Leiria	NA	NA	NA	NA	2420	NA	NA	NA	NA	NA	NA
R. do Casal 5, 2420-382 Boa Vista, Portugal	5	Rua do Casal	Boa Vista	Leiria	Portugal	2420-382	39.769459	-8.756356	Boa Vista	Leiria	NA	NA	NA	NA	2420	NA	NA	NA	NA	NA	NA
R. do Casal 5, 2420-382 Boa Vista, Portugal	5	Rua do Casal	Boa Vista	Leiria	Portugal	2420-382	39.769459	-8.756356	Boa Vista	Leiria	NA	NA	NA	NA	2420	NA	NA	NA	NA	NA	NA
53-57 Avenue Valrose, 06000 Nice, France	53-57	Avenue Valrose	Nice	Provence-Alpes-Côte d'Azur	France	06000	43.716441	7.266138	NA	Alpes-Maritimes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16 Avenue de Caronte, 13016 Marseille, France	16	Avenue de Caronte	Marseille	Provence-Alpes-Côte d'Azur	France	13016	43.3636	5.3215	NA	Bouches-du-Rhône	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16 Avenue de Caronte, 13016 Marseille, France	16	Avenue de Caronte	Marseille	Provence-Alpes-Côte d'Azur	France	13016	43.3636	5.3215	NA	Bouches-du-Rhône	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
942-960 E Altadena Dr, Altadena, CA 91001, USA	942-960	East Altadena Drive	Altadena	California	United States	91001	34.19	-118.13	NA	Los Angeles County	2034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2740 Fairmount Blvd, Eugene, OR 97403, USA	2740	Fairmount Boulevard	Eugene	Oregon	United States	97403	44.035	-123.058	NA	Lane County	1748	Fairmont	NA	NA	NA	NA	NA	NA	NA	NA	NA
707 S Lumpkin St, Athens, GA 30605, USA	707	South Lumpkin Street	Athens	Georgia	United States	30605	33.951	-83.376	NA	Clarke County	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000-1012 State St, Santa Barbara, CA 93101, USA	1000-1012	State Street	Santa Barbara	California	United States	93101	34.421629	-119.702021	NA	Santa Barbara County	2711	Santa Barbara Downtown	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000-1012 State St, Santa Barbara, CA 93101, USA	1000-1012	State Street	Santa Barbara	California	United States	93101	34.421629	-119.702021	NA	Santa Barbara County	2711	Santa Barbara Downtown	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000-1012 State St, Santa Barbara, CA 93101, USA	1000-1012	State Street	Santa Barbara	California	United States	93101	34.421629	-119.702021	NA	Santa Barbara County	2711	Santa Barbara Downtown	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nueva de Lyon 72, Providencia, Providencia, Región Metropolitana, Chile	72	Nueva de Lyon	Providencia	Región Metropolitana	Chile	NA	-33.4213	-70.6106	Providencia	Santiago	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
359 Jersey St, San Francisco, CA 94114, USA	359	Jersey Street	San Francisco	California	United States	94114	37.7502	-122.4331	NA	San Francisco County	3709	Noe Valley	NA	NA	NA	NA	NA	NA	NA	NA	NA
1468 Hopkins St, Berkeley, CA 94702, USA	1468	Hopkins Street	Berkeley	California	United States	94702	37.8804	-122.2838	NA	Alameda County	NA	Northwest Berkeley	NA	NA	NA	NA	NA	NA	NA	NA	NA
15430 Piilani Hwy, Kula, HI 96790, USA	15430	Piilani Highway	Kula	Hawaii	United States	96790	20.6344	-156.3935	NA	Maui County	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9177 Kula Hwy, Kula, HI 96790, USA	9177	Kula Highway	Kula	Hawaii	United States	96790	20.70554	-156.35475	NA	Maui County	7422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9250 Kula Hwy, Kula, HI 96790, USA	9250	Kula Highway	Kula	Hawaii	United States	96790	20.70559	-156.35678	NA	Maui County	7423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9250 Kula Hwy, Kula, HI 96790, USA	9250	Kula Highway	Kula	Hawaii	United States	96790	20.70559	-156.35678	NA	Maui County	7423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rehlingstraße 12B, 79100 Freiburg im Breisgau, Germany	12B	Rehlingstraße	Freiburg im Breisgau	Baden-Württemberg	Germany	79100	47.99	7.84	NA	Freiburg	NA	NA	NA	Süd	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eerste Dorskampweg, 6704 Wageningen, Netherlands	NA	Eerste Dorskampweg	Wageningen	Gelderland	Netherlands	NA	51.975285	5.694834	NA	Wageningen	NA	NA	NA	NA	6704	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terborgseweg 153, 7004 DN Doetinchem, Netherlands	153	Terborgseweg	Doetinchem	Gelderland	Netherlands	7004 DN	51.954422	6.303406	NA	Doetinchem	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
