strain	latitude	longitude	isolation	date_isolated	comment	isolated_by	city	state_province	country	location_raw
JU1568	48.8092	2.3862	rotting Petasites stem	2008-10-05	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Ivry-sur-Seine, France
JU1580	48.7015	2.1725	rotting apple	2008-10-06	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Orsay, France
JU1581	48.7015	2.1725	rotting apple	2008-10-23	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Orsay, France
JU1586	46.63	1.06	rotting grape puree	2008-11-03	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Le Blanc, France
JU1652	-34.86	-56.19	compost	2009-01-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Montevideo, Uruguay
JU1656	48.725018	-3.972104	rotting fern stem (Pteridium aquilinum	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Sainte-Barbe (Finistere), France
JU1666	48.725018	-3.972104	rotting sloe	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Sainte-Barbe (Finistere), France
JU1762	48.695548	-3.790033	rotting Heracleum stem	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Plougasnou, Finistere, France
JU1770	48.695548	-3.790033	rotting fern stem	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Plougasnou, Finistere, France
JU1792	46.63278	1.064289	rotting Arum stem sampled in woods	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU1793	49.12604	1.95114	rotting Heracleum stem	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil (Val d'Oise), France
JU1807	48.662134	2.2131	rotting apple O145 (Kidd's Orange)	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Orsay, France
JU1808	48.81257	2.395372	Helix aspersa snail	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Ivry (Val-de-Marne), Franc
JU1893	48.662134	2.2131	rotting apple	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Orsay, France
JU1896	37.999722	23.749673	rotten olives	2001-01-02	NA	Lois Tang	#ERROR!	#ERROR!	#ERROR!	Athens, Greece
JU1920	49.12604	1.95114	rotting Heracleum stem S60	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil (Val d'Oise), France
JU1922	49.12604	1.95114	rotting Heracleum stem S68	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil (Val d'Oise), France
JU1924	49.12604	1.95114	rotting Heracleum stem S73	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil (Val d'Oise), France
JU1929	49.12604	1.95114	rotting Heracleum stem S86	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil (Val d'Oise), France
JU1934	49.12604	1.95114	rotting Heracleum stem S106	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil (Val d'Oise), France
JU1960	34.18973	-118.131319	compost in the same garden in Altadena as PS2025	NA	NA	John DeModena	#ERROR!	#ERROR!	#ERROR!	Altadena, CA
JU2001	-21.1	55.5	NA	2010-09-01	NA	Tony Belicard	#ERROR!	#ERROR!	#ERROR!	La Reunion
JU2007	50.6	-1.3	rotting apple	2010-10-01	NA	Michalis Barkoulas	#ERROR!	#ERROR!	#ERROR!	Cowes, Isle of Wight, UK
JU2016	37.757593	-122.463177	rotten pumpkin	2010-11-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
JU2017	37.757593	-122.463177	rotten sweet potato	2010-11-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
